game_title,image_url,genre,short_description,player_mode
Street Fighter 6,https://images.igdb.com/igdb/image/upload/t_cover_big/co5vst.jpg,Fighting,A 2D competitive fighting game featuring a roster of classic and new characters with diverse combat styles and multiple online and offline game modes.,Both
Hunt: Showdown 1896,https://images.igdb.com/igdb/image/upload/t_cover_big/co8o7i.jpg,FPS,A competitive bounty-hunting game where players track monsters and fight other hunters in a supernatural 19th-century Louisiana setting.,Multiplayer
Wuthering Waves,https://images.igdb.com/igdb/image/upload/t_cover_big/co92hl.jpg,RPG,An open-world action role-playing game featuring real-time combat and a post-apocalyptic science fiction setting.,Singleplayer
Arma Reforger,https://images.igdb.com/igdb/image/upload/t_cover_big/co4rk4.jpg,Simulation,"A tactical military shooter set on the island of Everon, focusing on realistic combat and sandbox gameplay mechanics.",Both
Lethal Company,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ive.jpg,Survival,Players scavenge abandoned industrial moons for scrap while avoiding dangerous creatures to meet a profit quota for a mysterious company.,Multiplayer
Arena Breakout: Infinite,https://images.igdb.com/igdb/image/upload/t_cover_big/co84b9.jpg,FPS,A tactical extraction shooter where players infiltrate combat zones to loot gear and survive against other players and AI enemies.,Multiplayer
Zenless Zone Zero,https://images.igdb.com/igdb/image/upload/t_cover_big/co90je.jpg,RPG,An urban fantasy action role-playing game where players control characters navigating a post-apocalyptic city to battle monsters in interdimensional realms.,Singleplayer
ARK: Survival Ascended,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ace.jpg,Survival,A remake of ARK: Survival Evolved featuring updated graphics and mechanics where players tame dinosaurs and build bases on a mysterious island.,Both
Sid Meier's Civilization VII,https://images.igdb.com/igdb/image/upload/t_cover_big/co8po2.jpg,Strategy,"A turn-based 4X strategy game where players build an empire from antiquity to the modern era by managing resources, diplomacy, and military conquest.",Both
SMITE 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co7m9c.jpg,MOBA,A third-person team-based multiplayer online battle arena game where players control mythological gods in competitive combat matches.,Multiplayer
Throne and Liberty,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j6b.jpg,MMORPG,"A massive multiplayer online role-playing game featuring dynamic environments, large-scale guild battles, and a class system based on equipped weapons.",Multiplayer
Enshrouded,https://images.igdb.com/igdb/image/upload/t_cover_big/co6gct.jpg,Survival,"An action role-playing game featuring survival, crafting, and building mechanics set in a vast, decaying open world consumed by a mysterious fog.",Both
Poppy Playtime,https://images.igdb.com/igdb/image/upload/t_cover_big/co90hm.jpg,Horror,A first-person puzzle-adventure game where players explore an abandoned toy factory while avoiding hostile living toys.,Singleplayer
It Takes Two,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t97.jpg,Platformer,A cooperative action-adventure game where two players control a shrinking couple navigating a fantastical world to repair their relationship.,Multiplayer
DYNASTY WARRIORS: ORIGINS,https://images.igdb.com/igdb/image/upload/t_cover_big/co9129.jpg,Action,A hack-and-slash action game set in the Three Kingdoms period featuring large-scale battlefield combat.,Singleplayer
NHL 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8pwh.jpg,Sports,"A professional ice hockey simulation game featuring updated player rosters, improved skating mechanics, and various competitive game modes.",Both
Balatro,https://images.igdb.com/igdb/image/upload/t_cover_big/co752b.jpg,Roguelike,A poker-themed roguelike deck-builder where players use illegal poker hands and unique joker cards to achieve high scores.,Singleplayer
MiSide,https://images.igdb.com/igdb/image/upload/t_cover_big/co7e6i.jpg,Horror,A psychological horror game where a player is transported into a mobile game and interacts with a mysterious virtual girl.,Singleplayer
Metaphor: ReFantazio,https://images.igdb.com/igdb/image/upload/t_cover_big/co8d9t.jpg,RPG,A turn-based fantasy role-playing game where players embark on a journey to reclaim the throne through strategic combat and social bonding.,Singleplayer
Indiana Jones and the Great Circle,https://images.igdb.com/igdb/image/upload/t_cover_big/co7nbc.jpg,Adventure,A first-person action-adventure game where Indiana Jones explores historical locations to uncover the mystery of the Great Circle between the events of Raiders and The Last Crusade.,Singleplayer
Hell Let Loose,https://images.igdb.com/igdb/image/upload/t_cover_big/co6sqr.jpg,FPS,"A realistic, large-scale World War II tactical shooter featuring 100-player battles with infantry, tanks, and artillery.",Multiplayer
Super Mario 64,https://images.igdb.com/igdb/image/upload/t_cover_big/co5wv6.jpg,Platformer,A 3D platforming game where Mario explores various worlds to collect Power Stars and rescue Princess Peach from Bowser.,Singleplayer
S.T.A.L.K.E.R. 2: Heart of Chornobyl,https://images.igdb.com/igdb/image/upload/t_cover_big/co5pxn.jpg,FPS,A first-person survival horror game set in the radioactive Chornobyl Exclusion Zone featuring open-world exploration and tactical combat.,Singleplayer
STALCRAFT: X,https://images.igdb.com/igdb/image/upload/t_cover_big/co8h06.jpg,Survival,"A massively multiplayer first-person shooter set in the Chernobyl Exclusion Zone, combining open-world survival mechanics with quest-driven progression.",Multiplayer
Supermarket Together,https://images.igdb.com/igdb/image/upload/t_cover_big/co8mcl.jpg,Simulation,"A cooperative management game where players build, stock, and operate a supermarket together while managing inventory and serving customers.",Both
Ragnarok Online 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1toh.jpg,RPG,A 3D massively multiplayer online role-playing game featuring a fantasy world based on Norse mythology and the sequel to the original Ragnarok Online.,Multiplayer
The Outlast Trials,https://images.igdb.com/igdb/image/upload/t_cover_big/co29og.jpg,Survival,A cooperative psychological horror game where players must complete experiments and survive against terrifying enemies in a cold-war era facility.,Both
Detroit: Become Human,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mzf.jpg,Adventure,A narrative-driven choice-based game where players control three androids navigating a futuristic society facing an uprising.,Singleplayer
EA Sports UFC 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co2bz5.jpg,Fighting,A mixed martial arts simulation game featuring a roster of UFC fighters and realistic combat mechanics.,Both
Palia,https://images.igdb.com/igdb/image/upload/t_cover_big/co6mc3.jpg,Simulation,"A cozy community simulation game where players build homes, farm, fish, and interact with villagers in a persistent online world.",Multiplayer
Green Hell,https://images.igdb.com/igdb/image/upload/t_cover_big/co9d3h.jpg,Survival,"A first-person open-world survival game set in the Amazon rainforest where players must manage health, nutrition, and sanity to stay alive.",Both
Microsoft Flight Simulator 2024,https://images.igdb.com/igdb/image/upload/t_cover_big/co91qm.jpg,Simulation,"A high-fidelity flight simulator featuring global terrain, realistic weather systems, and diverse aviation career missions.",Both
Teamfight Tactics,https://images.igdb.com/igdb/image/upload/t_cover_big/co8jux.jpg,Strategy,An auto-battler game where players draft champions and place them on a grid to fight against seven other opponents in a round-based tournament.,Multiplayer
No Man's Sky,https://images.igdb.com/igdb/image/upload/t_cover_big/co8j8v.jpg,Survival,"A space exploration game featuring procedurally generated planets, resource gathering, base building, and interstellar travel.",Both
Farming Simulator 25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8fpu.jpg,Simulation,"A farming simulation game where players manage crops, livestock, and forestry machinery to build and expand an agricultural enterprise.",Both
Tom Clancy's The Division 2,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xrm.jpg,RPG,An online-only action role-playing game set in a post-pandemic Washington D.C. featuring tactical third-person shooter combat and cooperative mission-based gameplay.,Both
Super Smash Bros. Ultimate,https://images.igdb.com/igdb/image/upload/t_cover_big/co2255.jpg,Fighting,A crossover platform fighting game where players battle to knock opponents off the stage using various Nintendo and third-party characters.,Both
Dying Light,https://images.igdb.com/igdb/image/upload/t_cover_big/co65yq.jpg,Survival,A first-person action game set in a zombie-infested open world where players use parkour and melee combat to survive.,Both
Sniper Elite: Resistance,https://images.igdb.com/igdb/image/upload/t_cover_big/co9brt.jpg,Shooter,A tactical third-person stealth game where players operate behind enemy lines in occupied France during World War II.,Both
New World: Aeternum,https://images.igdb.com/igdb/image/upload/t_cover_big/co8xyh.jpg,MMORPG,"An open-world massively multiplayer online role-playing game set on the supernatural island of Aeternum, featuring combat, crafting, and faction-based territory control.",Multiplayer
Hello Kitty Island Adventure,https://images.igdb.com/igdb/image/upload/t_cover_big/co6ohb.jpg,Adventure,"A life simulation game where players explore an island, complete quests, and build friendships with Sanrio characters.",Both
The Headliners,https://images.igdb.com/igdb/image/upload/t_cover_big/co9c24.jpg,Adventure,A narrative-driven game where players manage a news station and influence public opinion through editorial choices in a dystopian society.,Singleplayer
Mir Tankov,https://images.igdb.com/igdb/image/upload/t_cover_big/co6q0c.jpg,Simulation,A tank combat simulation game featuring historical armored vehicles and tactical battlefield engagements.,Singleplayer
The Binding of Isaac: Repentance,https://images.igdb.com/igdb/image/upload/t_cover_big/co949f.jpg,Roguelike,"A top-down action game where players navigate procedurally generated dungeons, collecting items to gain powers and defeat bosses.",Both
Exoborne,https://images.igdb.com/igdb/image/upload/t_cover_big/co9dm3.jpg,Shooter,An open-world extraction shooter set in a post-apocalyptic world ravaged by extreme weather events where players scavenge for gear and fight for survival.,Multiplayer
Grand Theft Auto: San Andreas,https://images.igdb.com/igdb/image/upload/t_cover_big/co2lb9.jpg,Sandbox,An open-world action-adventure game where a former gang member navigates the fictional state of San Andreas while completing missions and interacting with criminal organizations.,Singleplayer
Infinity Nikki,https://images.igdb.com/igdb/image/upload/t_cover_big/co8tdc.jpg,RPG,"An open-world dress-up adventure game where players explore the world of Miraland, collect outfits, and solve platforming puzzles.",Singleplayer
Borderlands 3,https://images.igdb.com/igdb/image/upload/t_cover_big/co20r3.jpg,FPS,A looter-shooter action game where players explore various planets to stop a cult from harnessing the power of alien vaults.,Both
Knight Online,https://images.igdb.com/igdb/image/upload/t_cover_big/co5tgw.jpg,MMORPG,A fantasy massively multiplayer online role-playing game focused on faction-based warfare between the human kingdom of El Morad and the orcish nation of Karus.,Multiplayer
Supermarket Simulator,https://images.igdb.com/igdb/image/upload/t_cover_big/co8guq.jpg,Simulation,"A management game where players stock shelves, set prices, process payments, and expand their own retail supermarket business.",Singleplayer
